user,time,error,qType,bias,ans,correct,confidence,age,sex,degree,monitor,computer,expert,expertProgressive,biasNum
jt4pywud,17553,0.07,0,notClustered,65000,70000,3,25-39,Male,Bachelors,23 or larger,gt60,intermediate,intermediate,0
jt4pywud,8620,0,1,notClustered,Yes,yes,4,25-39,Male,Bachelors,23 or larger,gt60,intermediate,intermediate,0
jt4pywud,8531,0,2,notClustered,C,C,4,25-39,Male,Bachelors,23 or larger,gt60,intermediate,intermediate,0
jt4pyy0d,9139,0,0,notClustered,70000,70000,2,25-39,Female,Other,17,gt60,low-intermediate,low-intermediate,0
jt4pyy0d,11143,0,1,notClustered,yes,yes,3,25-39,Female,Other,17,gt60,low-intermediate,low-intermediate,0
jt4pyy0d,8150,0,2,notClustered,c,C,3,25-39,Female,Other,17,gt60,low-intermediate,low-intermediate,0
jt4pz69e,7493,0,0,notClustered,70000,70000,3,25-39,Male,Bachelors,19,31-40,intermediate,intermediate,0
jt4pz69e,4739,1,1,notClustered,B,yes,4,25-39,Male,Bachelors,19,31-40,intermediate,intermediate,0
jt4pz69e,5668,0,2,notClustered,C,C,4,25-39,Male,Bachelors,19,31-40,intermediate,intermediate,0
jt4pzmtw,13844,0.04,0,notClustered,67000,70000,4,25-39,Male,Masters,23 or larger,gt60,high-intermediate,intermediate,0
jt4pzmtw,6608,0,1,notClustered,yes,yes,4,25-39,Male,Masters,23 or larger,gt60,high-intermediate,intermediate,0
jt4pzmtw,4757,0,2,notClustered,C,C,4,25-39,Male,Masters,23 or larger,gt60,high-intermediate,intermediate,0
jt4q0gzo,17429,0,0,notClustered,70000,70000,2,18-24,Male,High School,23 or larger,41-50,novice,novice,0
jt4q0gzo,6830,0,1,notClustered,yes,yes,3,18-24,Male,High School,23 or larger,41-50,novice,novice,0
jt4q0gzo,9605,0,2,notClustered,C,C,3,18-24,Male,High School,23 or larger,41-50,novice,novice,0
jt4q0ho8,20195,0,0,notClustered,70000,70000,2,60,Male,Other,13,51-60,novice,novice,0
jt4q0ho8,9977,0,1,notClustered,YES,yes,4,60,Male,Other,13,51-60,novice,novice,0
jt4q0ho8,9970,0,2,notClustered,C,C,4,60,Male,Other,13,51-60,novice,novice,0
jt4q1xkk,23807,0,0,notClustered,70000,70000,4,25-39,Male,Bachelors,23 or larger,31-40,expert,high-intermediate,0
jt4q1xkk,6960,0,1,notClustered,yes,yes,4,25-39,Male,Bachelors,23 or larger,31-40,expert,high-intermediate,0
jt4q1xkk,3712,0,2,notClustered,C,C,4,25-39,Male,Bachelors,23 or larger,31-40,expert,high-intermediate,0
jt4q8tns,11862,0.29,0,notClustered,90000,70000,2,25-39,Male,Bachelors,13,43626,expert,intermediate,0
jt4q8tns,15086,0,1,notClustered,YES,yes,3,25-39,Male,Bachelors,13,43626,expert,intermediate,0
jt4q8tns,10313,0,2,notClustered,C,C,3,25-39,Male,Bachelors,13,43626,expert,intermediate,0
jt4q8wor,9632,0,0,notClustered,70000,70000,3,25-39,Female,Bachelors,19,31-40,intermediate,novice,0
jt4q8wor,7296,0,1,notClustered,yes,yes,4,25-39,Female,Bachelors,19,31-40,intermediate,novice,0
jt4q8wor,8336,0,2,notClustered,C,C,4,25-39,Female,Bachelors,19,31-40,intermediate,novice,0
jt4qhvse,18232,0,0,notClustered,70000,70000,3,40-49,Male,High School,23 or larger,gt60,low-intermediate,low-intermediate,0
jt4qhvse,7360,0,1,notClustered,yes,yes,4,40-49,Male,High School,23 or larger,gt60,low-intermediate,low-intermediate,0
jt4qhvse,6656,0,2,notClustered,C,C,4,40-49,Male,High School,23 or larger,gt60,low-intermediate,low-intermediate,0
jt4qk6n1,6911,0,0,notClustered,70000,70000,2,25-39,Male,Bachelors,19,41-50,low-intermediate,novice,0
jt4qk6n1,5224,0,1,notClustered,yes,yes,4,25-39,Male,Bachelors,19,41-50,low-intermediate,novice,0
jt4qk6n1,9960,0,2,notClustered,C,C,3,25-39,Male,Bachelors,19,41-50,low-intermediate,novice,0
jt4qqvze,7672,0,0,notClustered,70000,70000,2,25-39,Male,Bachelors,dontknow,41-50,low-intermediate,low-intermediate,0
jt4qqvze,5511,0,1,notClustered,yes,yes,3,25-39,Male,Bachelors,dontknow,41-50,low-intermediate,low-intermediate,0
jt4qqvze,4024,0,2,notClustered,C,C,4,25-39,Male,Bachelors,dontknow,41-50,low-intermediate,low-intermediate,0
jt4r0f5e,8762,0.14,0,notClustered,80000,70000,4,25-39,Male,Bachelors,13,21-30,intermediate,intermediate,0
jt4r0f5e,3785,0,1,notClustered,yes,yes,4,25-39,Male,Bachelors,13,21-30,intermediate,intermediate,0
jt4r0f5e,3670,0,2,notClustered,C,C,4,25-39,Male,Bachelors,13,21-30,intermediate,intermediate,0
jt4r292g,10828,0,0,notClustered,70000,70000,3,25-39,Female,Bachelors,17,43789,novice,novice,0
jt4r292g,7130,1,1,notClustered,no,yes,3,25-39,Female,Bachelors,17,43789,novice,novice,0
jt4r292g,5420,0,2,notClustered,c,C,3,25-39,Female,Bachelors,17,43789,novice,novice,0
jt4r2r2n,25794,0.06,0,notClustered,66000,70000,2,25-39,Male,High School,21,31-40,intermediate,low-intermediate,0
jt4r2r2n,24368,0,1,notClustered,Yes,yes,4,25-39,Male,High School,21,31-40,intermediate,low-intermediate,0
jt4r2r2n,5479,0,2,notClustered,C,C,4,25-39,Male,High School,21,31-40,intermediate,low-intermediate,0
jt4r3rdg,7356,0.07,0,notClustered,65000,70000,3,18-24,Female,Bachelors,15,gt60,low-intermediate,novice,0
jt4r3rdg,6487,0,1,notClustered,Yes,yes,3,18-24,Female,Bachelors,15,gt60,low-intermediate,novice,0
jt4r3rdg,3937,0,2,notClustered,c,C,4,18-24,Female,Bachelors,15,gt60,low-intermediate,novice,0
jt4r4nuu,27566,0.01,0,notClustered,69500,70000,3,25-39,Male,Masters,21,43789,intermediate,intermediate,0
jt4r4nuu,18185,0,1,notClustered,yes,yes,3,25-39,Male,Masters,21,43789,intermediate,intermediate,0
jt4r4nuu,18715,0,2,notClustered,c,C,3,25-39,Male,Masters,21,43789,intermediate,intermediate,0
jt4r78fp,6366,0.1,0,notClustered,63000,70000,4,25-39,Male,Bachelors,17,gt60,high-intermediate,high-intermediate,0
jt4r78fp,4634,0,1,notClustered,yes,yes,4,25-39,Male,Bachelors,17,gt60,high-intermediate,high-intermediate,0
jt4r78fp,2530,0,2,notClustered,c,C,4,25-39,Male,Bachelors,17,gt60,high-intermediate,high-intermediate,0
jt4r99gc,23420,0,0,notClustered,70000,70000,3,25-39,Male,Bachelors,23 or larger,51-60,intermediate,low-intermediate,0
jt4r99gc,8461,0,1,notClustered,yes,yes,4,25-39,Male,Bachelors,23 or larger,51-60,intermediate,low-intermediate,0
jt4r99gc,9421,0,2,notClustered,c,C,4,25-39,Male,Bachelors,23 or larger,51-60,intermediate,low-intermediate,0
jt4rf6rb,15944,0.04,0,notClustered,67000,70000,4,40-49,Female,Bachelors,21,21-30,novice,novice,0
jt4rf6rb,4149,0,1,notClustered,yes,yes,4,40-49,Female,Bachelors,21,21-30,novice,novice,0
jt4rf6rb,4050,0,2,notClustered,C,C,4,40-49,Female,Bachelors,21,21-30,novice,novice,0
jt4rkol9,11157,0,0,notClustered,70000,70000,4,25-39,Male,Bachelors,23 or larger,gt60,low-intermediate,novice,0
jt4rkol9,6750,0,1,notClustered,Yes,yes,4,25-39,Male,Bachelors,23 or larger,gt60,low-intermediate,novice,0
jt4rkol9,7250,0,2,notClustered,C,C,4,25-39,Male,Bachelors,23 or larger,gt60,low-intermediate,novice,0
jt4rp1f2,13846,0.04,0,notClustered,73100,70000,3,25-39,Male,Bachelors,21,41-50,intermediate,intermediate,0
jt4rp1f2,10485,0,1,notClustered,Yes,yes,4,25-39,Male,Bachelors,21,41-50,intermediate,intermediate,0
jt4rp1f2,5660,0,2,notClustered,C,C,3,25-39,Male,Bachelors,21,41-50,intermediate,intermediate,0
jt4rsq4e,16099,0.04,0,notClustered,67000,70000,3,25-39,Male,Bachelors,17,gt60,low-intermediate,low-intermediate,0
jt4rsq4e,11234,1,1,notClustered,No,yes,4,25-39,Male,Bachelors,17,gt60,low-intermediate,low-intermediate,0
jt4rsq4e,4850,0,2,notClustered,C,C,4,25-39,Male,Bachelors,17,gt60,low-intermediate,low-intermediate,0
jt4sc8yq,12431,0.02,0,notClustered,68500,70000,4,25-39,Male,High School,21,43789,intermediate,high-intermediate,0
jt4sc8yq,5855,0,1,notClustered,Yes,yes,4,25-39,Male,High School,21,43789,intermediate,high-intermediate,0
jt4sc8yq,18522,0,2,notClustered,C,C,4,25-39,Male,High School,21,43789,intermediate,high-intermediate,0
jt4t7wmw,17143,0,0,notClustered,70000,70000,3,25-39,Male,Bachelors,17,31-40,low-intermediate,novice,0
jt4t7wmw,5225,0,1,notClustered,Yes,yes,4,25-39,Male,Bachelors,17,31-40,low-intermediate,novice,0
jt4t7wmw,4133,0,2,notClustered,C,C,4,25-39,Male,Bachelors,17,31-40,low-intermediate,novice,0
jt4tjdez,8040,0.07,0,notClustered,65000,70000,4,25-39,Female,Bachelors,15,41-50,intermediate,high-intermediate,0
jt4tjdez,9769,0,1,notClustered,yes,yes,4,25-39,Female,Bachelors,15,41-50,intermediate,high-intermediate,0
jt4tjdez,4471,0,2,notClustered,C,C,4,25-39,Female,Bachelors,15,41-50,intermediate,high-intermediate,0
jt4tz30n,14689,0.04,0,notClustered,73000,70000,3,25-39,Male,Bachelors,21,43626,intermediate,intermediate,0
jt4tz30n,3541,0,1,notClustered,yes,yes,3,25-39,Male,Bachelors,21,43626,intermediate,intermediate,0
jt4tz30n,3152,0,2,notClustered,C,C,4,25-39,Male,Bachelors,21,43626,intermediate,intermediate,0
jt4uf8l1,13628,0.06,0,notClustered,66000,70000,4,25-39,Male,High School,19,gt60,low-intermediate,low-intermediate,0
jt4uf8l1,11796,0,1,notClustered,Yes,yes,4,25-39,Male,High School,19,gt60,low-intermediate,low-intermediate,0
jt4uf8l1,21890,0,2,notClustered,C,C,4,25-39,Male,High School,19,gt60,low-intermediate,low-intermediate,0
jt4uqu86,17194,0,0,notClustered,70000,70000,2,60,Male,Masters,13,21-30,novice,novice,0
jt4uqu86,8848,0,1,notClustered,yes,yes,3,60,Male,Masters,13,21-30,novice,novice,0
jt4uqu86,6937,0,2,notClustered,C,C,4,60,Male,Masters,13,21-30,novice,novice,0
jt4wedwa,6072,0.14,0,notClustered,80000,70000,3,25-39,Male,High School,15,21-30,novice,novice,0
jt4wedwa,4816,0,1,notClustered,Yes,yes,4,25-39,Male,High School,15,21-30,novice,novice,0
jt4wedwa,1040,0,2,notClustered,C,C,4,25-39,Male,High School,15,21-30,novice,novice,0
jt4pzvxq,8542,0.14,0,notClustered,60000,70000,3,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice,0
jt4pzvxq,3561,0,1,notClustered,Yes,yes,4,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice,0
jt4pzvxq,1807,0,2,notClustered,C,C,4,25-39,Male,High School,23 or larger,21-30,low-intermediate,novice,0
jt4q47nl,768,0.46,0,notClustered,38000,70000,3,25-39,Male,High School,17,21-30,intermediate,intermediate,0
jt4q47nl,840,1,1,notClustered,no,yes,1,25-39,Male,High School,17,21-30,intermediate,intermediate,0
jt4q47nl,704,1,2,notClustered,B,C,2,25-39,Male,High School,17,21-30,intermediate,intermediate,0
jt4qbjm8,14013,0.02,0,notClustered,68500,70000,2,18-24,Male,Bachelors,19,41-50,low-intermediate,low-intermediate,0
jt4qbjm8,7121,0,1,notClustered,yes,yes,4,18-24,Male,Bachelors,19,41-50,low-intermediate,low-intermediate,0
jt4qbjm8,3973,0,2,notClustered,c,C,4,18-24,Male,Bachelors,19,41-50,low-intermediate,low-intermediate,0
jt4qpsdw,4390,0.14,0,notClustered,80000,70000,2,25-39,Male,Bachelors,23 or larger,21-30,intermediate,low-intermediate,0
jt4qpsdw,6764,0,1,notClustered,YES,yes,2,25-39,Male,Bachelors,23 or larger,21-30,intermediate,low-intermediate,0
jt4qpsdw,7350,0,2,notClustered,C,C,2,25-39,Male,Bachelors,23 or larger,21-30,intermediate,low-intermediate,0
jt4r2cxk,20833,0,0,notClustered,70000,70000,2,25-39,Female,Bachelors,21,21-30,low-intermediate,low-intermediate,0
jt4r2cxk,16343,0,1,notClustered,YES,yes,4,25-39,Female,Bachelors,21,21-30,low-intermediate,low-intermediate,0
jt4r2cxk,5735,0,2,notClustered,C,C,4,25-39,Female,Bachelors,21,21-30,low-intermediate,low-intermediate,0
jt4ru7zi,8102,0.07,0,notClustered,65000,70000,3,18-24,Male,High School,15,41-50,intermediate,intermediate,0
jt4ru7zi,1999,0,1,notClustered,yes,yes,4,18-24,Male,High School,15,41-50,intermediate,intermediate,0
jt4ru7zi,2677,0,2,notClustered,C,C,4,18-24,Male,High School,15,41-50,intermediate,intermediate,0
jt4set3g,10521,0.36,0,notClustered,95000,70000,3,50-59,Male,High School,23 or larger,41-50,low-intermediate,low-intermediate,0
jt4set3g,7652,0,1,notClustered,yes,yes,4,50-59,Male,High School,23 or larger,41-50,low-intermediate,low-intermediate,0
jt4set3g,4568,0,2,notClustered,C,C,4,50-59,Male,High School,23 or larger,41-50,low-intermediate,low-intermediate,0
jt4szkkl,16281,0.29,0,notClustered,90000,70000,3,40-49,Female,Other,17,41-50,low-intermediate,intermediate,0
jt4szkkl,4359,0,1,notClustered,YES,yes,4,40-49,Female,Other,17,41-50,low-intermediate,intermediate,0
jt4szkkl,5587,0,2,notClustered,C,C,4,40-49,Female,Other,17,41-50,low-intermediate,intermediate,0
jt4vn6yj,17142,0,0,notClustered,70000,70000,3,25-39,Female,High School,15,21-30,low-intermediate,low-intermediate,0
jt4vn6yj,7343,0,1,notClustered,yes,yes,3,25-39,Female,High School,15,21-30,low-intermediate,low-intermediate,0
jt4vn6yj,14160,0,2,notClustered,c,C,3,25-39,Female,High School,15,21-30,low-intermediate,low-intermediate,0
jt4y4im3,1133,0,0,notClustered,70000,70000,3,18-24,Male,Bachelors,17,43789,intermediate,intermediate,0
jt4y4im3,21170,0,1,notClustered,Yes,yes,4,18-24,Male,Bachelors,17,43789,intermediate,intermediate,0
jt4y4im3,17777,0,2,notClustered,C,C,4,18-24,Male,Bachelors,17,43789,intermediate,intermediate,0
jtuymjb3,11536,0,0,clustered_0_5,60000,60000,3,18-24,Unspecified,High School,23 or larger,41-50,intermediate,novice,1
jtuymjb3,12552,0,1,clustered_0_5,No,no,4,18-24,Unspecified,High School,23 or larger,41-50,intermediate,novice,1
jtuymjb3,16376,0,2,clustered_0_5,E,E,4,18-24,Unspecified,High School,23 or larger,41-50,intermediate,novice,1
jtuympet,12439,0.02,0,clustered_0_5,58900,60000,4,25-39,Female,Bachelors,15,lt5,intermediate,intermediate,1
jtuympet,8909,0,1,clustered_0_5,No,no,4,25-39,Female,Bachelors,15,lt5,intermediate,intermediate,1
jtuympet,5045,0,2,clustered_0_5,E,E,4,25-39,Female,Bachelors,15,lt5,intermediate,intermediate,1
jtuymvdh,34509,0.05,0,clustered_0_5,62900,60000,2,18-24,Male,Bachelors,15,21-30,intermediate,intermediate,1
jtuymvdh,25974,0,1,clustered_0_5,No,no,3,18-24,Male,Bachelors,15,21-30,intermediate,intermediate,1
jtuymvdh,17406,0,2,clustered_0_5,E,E,3,18-24,Male,Bachelors,15,21-30,intermediate,intermediate,1
jtuyntzp,6288,0.5,0,clustered_0_5,30000,60000,4,25-39,Male,Bachelors,15,gt60,expert,high-intermediate,1
jtuyntzp,4625,1,1,clustered_0_5,YES,no,4,25-39,Male,Bachelors,15,gt60,expert,high-intermediate,1
jtuyntzp,6434,1,2,clustered_0_5,A,E,4,25-39,Male,Bachelors,15,gt60,expert,high-intermediate,1
jtuyocuh,3816,0.48,0,clustered_0_5,31450,60000,4,25-39,Male,Bachelors,13,31-40,intermediate,intermediate,1
jtuyocuh,1096,1,1,clustered_0_5,Yes,no,4,25-39,Male,Bachelors,13,31-40,intermediate,intermediate,1
jtuyocuh,3033,1,2,clustered_0_5,A,E,4,25-39,Male,Bachelors,13,31-40,intermediate,intermediate,1
jtuypse1,15494,0.07,0,clustered_0_5,64000,60000,2,40-49,Male,High School,23 or larger,51-60,low-intermediate,novice,1
jtuypse1,3865,1,1,clustered_0_5,yes,no,4,40-49,Male,High School,23 or larger,51-60,low-intermediate,novice,1
jtuypse1,2740,1,2,clustered_0_5,a,E,4,40-49,Male,High School,23 or larger,51-60,low-intermediate,novice,1
jtuyrumo,4227,0.49,0,clustered_0_5,30400,60000,3,18-24,Female,Bachelors,13,21-30,high-intermediate,low-intermediate,1
jtuyrumo,1933,1,1,clustered_0_5,Yes,no,4,18-24,Female,Bachelors,13,21-30,high-intermediate,low-intermediate,1
jtuyrumo,1542,1,2,clustered_0_5,A,E,4,18-24,Female,Bachelors,13,21-30,high-intermediate,low-intermediate,1
jtuysxyt,111096,0,0,clustered_0_5,60000,60000,3,25-39,Male,Bachelors,23 or larger,43789,intermediate,high-intermediate,1
jtuysxyt,174994,1,1,clustered_0_5,yes,no,3,25-39,Male,Bachelors,23 or larger,43789,intermediate,high-intermediate,1
jtuysxyt,25744,0,2,clustered_0_5,E,E,3,25-39,Male,Bachelors,23 or larger,43789,intermediate,high-intermediate,1
jtuytmiq,123880,0.02,0,clustered_0_5,61100,60000,3,25-39,Female,Unspecified,17,31-40,novice,novice,1
jtuytmiq,26112,0,1,clustered_0_5,no,no,3,25-39,Female,Unspecified,17,31-40,novice,novice,1
jtuytmiq,33496,0,2,clustered_0_5,E,E,3,25-39,Female,Unspecified,17,31-40,novice,novice,1
jtuytsg5,22879,0,0,clustered_0_5,60000,60000,2,25-39,Female,Bachelors,11,41-50,low-intermediate,novice,1
jtuytsg5,24021,0,1,clustered_0_5,NO,no,2,25-39,Female,Bachelors,11,41-50,low-intermediate,novice,1
jtuytsg5,29398,0,2,clustered_0_5,E,E,3,25-39,Female,Bachelors,11,41-50,low-intermediate,novice,1
jtuyx4j0,848,1,0,clustered_0_5,0,60000,3,25-39,Male,Masters,11,43626,intermediate,novice,1
jtuyx4j0,26132,0,1,clustered_0_5,no,no,4,25-39,Male,Masters,11,43626,intermediate,novice,1
jtuyx4j0,748,1,2,clustered_0_5,none,E,3,25-39,Male,Masters,11,43626,intermediate,novice,1
jtuz1jgz,51248,0.42,0,clustered_0_5,85000,60000,2,40-49,Female,Bachelors,21,31-40,high-intermediate,expert,1
jtuz1jgz,27217,0,1,clustered_0_5,NO,no,2,40-49,Female,Bachelors,21,31-40,high-intermediate,expert,1
jtuz1jgz,17088,0,2,clustered_0_5,E,E,4,40-49,Female,Bachelors,21,31-40,high-intermediate,expert,1
jtuz39jj,78814,0.05,0,clustered_0_5,63000,60000,3,25-39,Female,Other,17,21-30,novice,novice,1
jtuz39jj,51426,0,1,clustered_0_5,no,no,4,25-39,Female,Other,17,21-30,novice,novice,1
jtuz39jj,47758,0,2,clustered_0_5,E,E,4,25-39,Female,Other,17,21-30,novice,novice,1
jtuz3l53,1264,0.33,0,clustered_0_5,40000,60000,4,25-39,Male,Bachelors,17,51-60,intermediate,expert,1
jtuz3l53,3572,1,1,clustered_0_5,yes,no,4,25-39,Male,Bachelors,17,51-60,intermediate,expert,1
jtuz3l53,872,1,2,clustered_0_5,b,E,2,25-39,Male,Bachelors,17,51-60,intermediate,expert,1
jtuz5m74,15734,0.06,0,clustered_0_5,63700,60000,3,25-39,Male,Bachelors,15,41-50,low-intermediate,novice,1
jtuz5m74,8101,1,1,clustered_0_5,yes,no,3,25-39,Male,Bachelors,15,41-50,low-intermediate,novice,1
jtuz5m74,13180,0,2,clustered_0_5,e,E,3,25-39,Male,Bachelors,15,41-50,low-intermediate,novice,1
jtuz8w90,5186,0.5,0,clustered_0_5,30000,60000,3,50-59,Male,Bachelors,dontknow,21-30,novice,novice,1
jtuz8w90,15568,0,1,clustered_0_5,no,no,2,50-59,Male,Bachelors,dontknow,21-30,novice,novice,1
jtuz8w90,4940,1,2,clustered_0_5,a,E,3,50-59,Male,Bachelors,dontknow,21-30,novice,novice,1
jtuz9s4u,63842,0.07,0,clustered_0_5,64500,60000,3,50-59,Female,Bachelors,15,gt60,novice,novice,1
jtuz9s4u,27744,0,1,clustered_0_5,NO,no,3,50-59,Female,Bachelors,15,gt60,novice,novice,1
jtuz9s4u,39311,0,2,clustered_0_5,E,E,3,50-59,Female,Bachelors,15,gt60,novice,novice,1
jtuz9zj1,6028,0.67,0,clustered_0_5,20000,60000,4,25-39,Female,Bachelors,15,41-50,intermediate,high-intermediate,1
jtuz9zj1,3330,1,1,clustered_0_5,YES,no,4,25-39,Female,Bachelors,15,41-50,intermediate,high-intermediate,1
jtuz9zj1,8944,0,2,clustered_0_5,E,E,4,25-39,Female,Bachelors,15,41-50,intermediate,high-intermediate,1
jtuze9fo,712,0.17,0,clustered_0_5,50000,60000,4,25-39,Male,Bachelors,17,41-50,high-intermediate,intermediate,1
jtuze9fo,5944,1,1,clustered_0_5,D,no,3,25-39,Male,Bachelors,17,41-50,high-intermediate,intermediate,1
jtuze9fo,1735,1,2,clustered_0_5,A,E,3,25-39,Male,Bachelors,17,41-50,high-intermediate,intermediate,1
jtuzjum4,1440,0.75,0,clustered_0_5,15000,60000,4,25-39,Female,Bachelors,15,31-40,intermediate,intermediate,1
jtuzjum4,1557,1,1,clustered_0_5,YES,no,4,25-39,Female,Bachelors,15,31-40,intermediate,intermediate,1
jtuzjum4,1142,1,2,clustered_0_5,A,E,4,25-39,Female,Bachelors,15,31-40,intermediate,intermediate,1
jtuzm7hd,3152,0.5,0,clustered_0_5,29950,60000,3,25-39,Male,Bachelors,19,31-40,high-intermediate,intermediate,1
jtuzm7hd,46711,1,1,clustered_0_5,yes,no,3,25-39,Male,Bachelors,19,31-40,high-intermediate,intermediate,1
jtuzm7hd,8896,1,2,clustered_0_5,27600,E,3,25-39,Male,Bachelors,19,31-40,high-intermediate,intermediate,1
jtuznx74,6608,0.49,0,clustered_0_5,30450,60000,3,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,novice,1
jtuznx74,4977,1,1,clustered_0_5,yes,no,3,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,novice,1
jtuznx74,4773,1,2,clustered_0_5,A,E,4,25-39,Male,Bachelors,23 or larger,41-50,low-intermediate,novice,1
jtuzqosl,13603,0.33,0,clustered_0_5,80000,60000,1,25-39,Female,Masters,11,43626,intermediate,intermediate,1
jtuzqosl,5010,1,1,clustered_0_5,Yes,no,3,25-39,Female,Masters,11,43626,intermediate,intermediate,1
jtuzqosl,12232,0,2,clustered_0_5,e,E,3,25-39,Female,Masters,11,43626,intermediate,intermediate,1
jtuzs43l,19630,0.33,0,clustered_0_5,40000,60000,3,40-49,Female,High School,17,gt60,novice,novice,1
jtuzs43l,16925,0,1,clustered_0_5,no,no,4,40-49,Female,High School,17,gt60,novice,novice,1
jtuzs43l,16956,0,2,clustered_0_5,e,E,4,40-49,Female,High School,17,gt60,novice,novice,1
jtv00ubi,22957,0.07,0,clustered_0_5,64500,60000,2,40-49,Female,Masters,13,51-60,intermediate,novice,1
jtv00ubi,13782,1,1,clustered_0_5,yes,no,4,40-49,Female,Masters,13,51-60,intermediate,novice,1
jtv00ubi,17461,0,2,clustered_0_5,E,E,4,40-49,Female,Masters,13,51-60,intermediate,novice,1
jtv18pr6,57161,0,0,clustered_0_5,60000,60000,2,50-59,Male,Bachelors,17,51-60,low-intermediate,novice,1
jtv18pr6,65338,0,1,clustered_0_5,no,no,3,50-59,Male,Bachelors,17,51-60,low-intermediate,novice,1
jtv18pr6,37104,0,2,clustered_0_5,e,E,3,50-59,Male,Bachelors,17,51-60,low-intermediate,novice,1
jtv1h0nb,1170,0.33,0,clustered_0_5,40000,60000,4,25-39,Male,High School,23 or larger,43789,novice,novice,1
jtv1h0nb,646,1,1,clustered_0_5,yes,no,2,25-39,Male,High School,23 or larger,43789,novice,novice,1
jtv1h0nb,679,0,2,clustered_0_5,e,E,2,25-39,Male,High School,23 or larger,43789,novice,novice,1
jtv1s0m3,3013,0.5,0,clustered_0_5,29950,60000,1,25-39,Female,High School,17,41-50,novice,novice,1
jtv1s0m3,6313,0,1,clustered_0_5,No,no,2,25-39,Female,High School,17,41-50,novice,novice,1
jtv1s0m3,3492,1,2,clustered_0_5,A,E,2,25-39,Female,High School,17,41-50,novice,novice,1
jtv1tnzh,6324,0.48,0,clustered_0_5,31000,60000,3,18-24,Female,Bachelors,15,51-60,low-intermediate,novice,1
jtv1tnzh,6264,1,1,clustered_0_5,yes,no,4,18-24,Female,Bachelors,15,51-60,low-intermediate,novice,1
jtv1tnzh,39047,0,2,clustered_0_5,E,E,2,18-24,Female,Bachelors,15,51-60,low-intermediate,novice,1
jtv1ud2v,30202,0.05,0,clustered_0_5,63000,60000,3,40-49,Female,Bachelors,17,gt60,low-intermediate,novice,1
jtv1ud2v,14418,0,1,clustered_0_5,no,no,4,40-49,Female,Bachelors,17,gt60,low-intermediate,novice,1
jtv1ud2v,19704,0,2,clustered_0_5,e,E,4,40-49,Female,Bachelors,17,gt60,low-intermediate,novice,1
jtv26bo9,23903,0.05,0,clustered_0_5,57000,60000,2,25-39,Male,High School,23 or larger,31-40,intermediate,low-intermediate,1
jtv26bo9,21039,0,1,clustered_0_5,NO,no,3,25-39,Male,High School,23 or larger,31-40,intermediate,low-intermediate,1
jtv26bo9,27429,0,2,clustered_0_5,E,E,3,25-39,Male,High School,23 or larger,31-40,intermediate,low-intermediate,1
jtv2dbf2,8942,0.33,0,clustered_0_5,40000,60000,2,40-49,Female,High School,15,31-40,novice,novice,1
jtv2dbf2,17845,0,1,clustered_0_5,no,no,4,40-49,Female,High School,15,31-40,novice,novice,1
jtv2dbf2,12810,0,2,clustered_0_5,E,E,4,40-49,Female,High School,15,31-40,novice,novice,1
jtv2in9o,26584,0,0,clustered_0_5,60000,60000,2,25-39,Male,High School,23 or larger,43789,novice,novice,1
